individual,species
Cephalophus_harveyi_HVD,Cephalophus_harveyi_HVD
Sylvicapra_grimmia_CMD5126,Sylvicapra_grimmia_CMD5126
Philantomba_maxwellii_MXD,Philantomba_maxwellii_MXD
Raphicerus_campestris_SNB,Raphicerus_campestris_SNB
Antidorcas_marsupialis_SGB,Antidorcas_marsupialis_SGB
Litocranius_walleri_GRK,Litocranius_walleri_GRK
Saiga_tatarica_BIUU,Saiga_tatarica_BIUU
Gazella_cuvieri_G13,Gazella_cuvieri_G13
Nanger_granti_GTG,Nanger_granti_GTG
Nanger_dama_ruficollis_SCBI_Ndam_10,Nanger_dama_ruficollis_SCBI_Ndam_10
Nanger_dama_ORGONE_02,Nanger_dama_ORGONE_02
Capra_hircus_ARS1,Capra_hircus_ARS1